,,,CH1 T,CH1 V,CH2 T,CH2 V
Record Length,2500.000000,,-0.25,-0.08,0.112,-0.0032
,,,-0.172,2,0.644,-0.0184,,,,,
,,,-0.1718,2,0.588,-0.0168,,,,,
,,,-0.1716,2,0.616,-0.0176,,,,,
,,,-0.1714,2,0.644,-0.0184,,,,,
,,,-0.1712,2,0.644,-0.0184,,,,,
,,,-0.171,1.92,0.616,-0.0176,,,,,
,,,-0.1708,2,0.644,-0.0184,,,,,
,,,-0.1706,1.92,0.616,-0.0176,,,,,
,,,-0.1704,1.92,0.644,-0.0184,,,,,
,,,-0.1702,1.92,0.616,-0.0176,,,,,
,,,-0.17,1.92,0.616,-0.0176,,,,,
,,,-0.1698,1.84,0.588,-0.0168,,,,,
,,,-0.1696,1.92,0.616,-0.0176,,,,,
,,,-0.1694,1.84,0.616,-0.0176,,,,,
,,,-0.1692,1.84,0.616,-0.0176,,,,,
,,,-0.169,1.92,0.616,-0.0176,,,,,
,,,-0.1688,1.84,0.616,-0.0176,,,,,
,,,-0.1686,1.84,0.616,-0.0176,,,,,
,,,-0.1684,1.84,0.644,-0.0184,,,,,
,,,-0.1682,1.84,0.616,-0.0176,,,,,
,,,-0.168,1.76,0.644,-0.0184,,,,,
,,,-0.1678,1.76,0.588,-0.0168,,,,,
,,,-0.1676,1.76,0.588,-0.0168,,,,,
,,,-0.1674,1.76,0.616,-0.0176,,,,,
,,,-0.1672,1.76,0.588,-0.0168,,,,,
,,,-0.167,1.76,0.588,-0.0168,,,,,
,,,-0.1668,1.68,0.616,-0.0176,,,,,
,,,-0.1666,1.68,0.588,-0.0168,,,,,
,,,-0.1664,1.68,0.616,-0.0176,,,,,
,,,-0.1662,1.68,0.616,-0.0176,,,,,
,,,-0.166,1.68,0.616,-0.0176,,,,,
,,,-0.1658,1.68,0.644,-0.0184,,,,,
,,,-0.1656,1.68,0.588,-0.0168,,,,,
,,,-0.1654,1.6,0.588,-0.0168,,,,,
,,,-0.1652,1.52,0.616,-0.0176,,,,,
,,,-0.165,1.6,0.616,-0.0176,,,,,
,,,-0.1648,1.52,0.588,-0.0168,,,,,
,,,-0.1646,1.52,0.588,-0.0168,,,,,
,,,-0.1644,1.52,0.588,-0.0168,,,,,
,,,-0.1642,1.44,0.644,-0.0184,,,,,
,,,-0.164,1.52,0.56,-0.016,,,,,
,,,-0.1638,1.44,0.56,-0.016,,,,,
,,,-0.1636,1.44,0.588,-0.0168,,,,,
,,,-0.1634,1.44,0.588,-0.0168,,,,,
,,,-0.1632,1.36,0.588,-0.0168,,,,,
,,,-0.163,1.36,0.56,-0.016,,,,,
,,,-0.1628,1.36,0.56,-0.016,,,,,
,,,-0.1626,1.36,0.56,-0.016,,,,,
,,,-0.1624,1.28,0.616,-0.0176,,,,,
